locus_tag; genomes
ECB_01645; Ara-4_50K_11337_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara-2_50K_11335_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_04266; Ara-4_50K_11337_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-2_50K_11335_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_03816; Ara-6_50K_11390_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-2_50K_11335_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+6_50K_11371_annotated.gd
ECB_03890; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00002; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03270; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03507; Ara-2_50K_11335_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_02302; Ara-2_50K_11335_annotated.gd, Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-6_50K_11390_annotated.gd, Ara+6_50K_11371_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara+6_50K_11370_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_00391; Ara-3_50K_11364_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-3_50K_11365_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara+1_50K_11392_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara-1_50K_11331_annotated.gd, Ara+1_50K_11393_annotated.gd, Ara+5_50K_11368_annotated.gd, Ara-1_50K_11330_annotated.gd
ECB_03275; Ara-2_50K_11335_annotated.gd, Ara+3_50K_11346_annotated.gd, Ara-4_50K_11337_annotated.gd, Ara-5_50K_11339_annotated.gd, Ara+2_50K_11342_annotated.gd, Ara+2_50K_11343_annotated.gd, Ara+3_50K_11345_annotated.gd, Ara-5_50K_11340_annotated.gd, Ara+4_50K_11348_annotated.gd, Ara-2_50K_11333_annotated.gd, Ara-6_50K_11389_annotated.gd, Ara-4_50K_11336_annotated.gd, Ara+5_50K_11367_annotated.gd, Ara+4_50K_11349_annotated.gd, Ara+5_50K_11368_annotated.gd
